Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.AddressSource,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.ClientID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.HostName,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"Infinix-NOTE-40",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.IPAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"192.168.101.12",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.InterfaceType,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"802.11",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.Layer2Interface,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.LeaseTimeRemaining,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.MACAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"02:BF:8A:5C:D7:CD",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.UserClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.VendorClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceNumberOfEntries,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.AllowedMACAddresses,false,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.AssociatedConnection,false,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalPoolNumberOfEntries,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
